Name,Photo,Age,Country,Club,Club Photo,Overall Rating,Potential,Height,Weight,Preferred Foot,Best Position,Value,Wage,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Kevin De Bruyne,https://www.fifaindex.com/static/FIFA20/images/players/5/192985.png,28,Belgium,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,91,91,"5'11""",154lbs,Right,CAM,€90M,€370K,93,82,55,92,82.0,86,83,91,91,77,76,78.0,91,76.0,91,63.0,89,74,90,76,61.0,88.0,94.0,79,91.0,68,15,13,5,10,13
Robert Lewandowski,https://www.fifaindex.com/static/FIFA20/images/players/5/188545.png,31,Poland,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,90,90,"6'0""",176lbs,Right,ST,€74.5M,€240K,62,90,85,82,88.0,85,85,65,88,77,77,78.0,90,82.0,87,84.0,78,84,84,81,39.0,91.0,77.0,86,86.0,34,15,6,12,8,10
Eden Hazard,https://www.fifaindex.com/static/FIFA20/images/players/5/183277.png,29,Belgium,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,91,91,"5'9""",163lbs,Right,CAM,€90M,€470K,81,84,61,89,83.0,95,79,83,94,94,88,95.0,90,94.0,82,56.0,84,63,80,54,41.0,87.0,89.0,88,91.0,34,11,12,6,8,8
Sergio Agüero,https://www.fifaindex.com/static/FIFA20/images/players/5/153079.png,31,Argentina,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,89,89,"5'8""",154lbs,Right,ST,€60M,€300K,70,93,78,83,86.0,88,73,64,89,82,78,84.0,92,91.0,89,81.0,79,74,84,65,24.0,93.0,83.0,83,90.0,30,13,15,6,11,14
Kylian Mbappé,https://www.fifaindex.com/static/FIFA20/images/players/5/231747.png,21,France,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,89,95,"5'10""",161lbs,Right,RW,€93.5M,€150K,78,89,77,82,79.0,91,63,70,90,96,96,92.0,89,83.0,83,76.0,84,76,79,62,38.0,89.0,80.0,70,84.0,34,13,5,7,11,6
N'Golo Kanté,https://www.fifaindex.com/static/FIFA20/images/players/5/215914.png,28,France,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,89,90,"5'6""",154lbs,Right,CDM,€66M,€230K,68,65,54,86,56.0,79,49,81,80,79,77,82.0,93,92.0,71,77.0,97,73,63,90,92.0,72.0,79.0,54,85.0,90,15,12,10,7,10
Raheem Sterling,https://www.fifaindex.com/static/FIFA20/images/players/5/202652.png,25,England,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,89,91,"5'7""",152lbs,Right,RW,€82.5M,€260K,78,86,46,84,67.0,90,63,69,88,96,91,94.0,90,94.0,78,57.0,79,65,79,55,30.0,92.0,82.0,69,80.0,47,15,12,12,15,9
Harry Kane,https://www.fifaindex.com/static/FIFA20/images/players/5/202126.png,26,England,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,89,91,"6'2""",196lbs,Right,ST,€83M,€220K,75,94,86,81,85.0,80,68,83,84,68,72,71.0,91,73.0,90,79.0,87,84,86,81,35.0,93.0,81.0,90,91.0,56,8,10,11,14,11
Toni Kroos,https://www.fifaindex.com/static/FIFA20/images/players/5/182521.png,30,Germany,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,88,88,"6'0""",168lbs,Right,CM,€57M,€330K,88,75,58,92,82.0,80,84,92,88,50,41,60.0,87,71.0,87,30.0,74,73,86,60,76.0,75.0,89.0,73,88.0,72,10,11,13,7,10
Luka Modrić,https://www.fifaindex.com/static/FIFA20/images/players/5/177003.png,34,Croatia,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,89,89,"5'8""",146lbs,Right,CM,€39M,€320K,86,72,55,92,76.0,87,78,88,92,77,71,92.0,89,93.0,79,68.0,84,58,82,62,80.0,79.0,91.0,82,92.0,68,13,9,7,14,9
